DATE,RATE
01-Jan-01,1.975
02-Jan-01,1.975
03-Jan-01,1.975
04-Jan-01,1.975
05-Jan-01,1.99
06-Jan-01,1.98
07-Jan-01,1.98
08-Jan-01,1.98
09-Jan-01,2
10-Jan-01,2.03
11-Jan-01,2.03
12-Jan-01,2.0351
13-Jan-01,2.0421
14-Jan-01,2.0421
15-Jan-01,2.0421
16-Jan-01,2.04
17-Jan-01,2.03
18-Jan-01,2.02
19-Jan-01,2.01
20-Jan-01,2.01
21-Jan-01,2.01
22-Jan-01,2.01
23-Jan-01,2
24-Jan-01,2.02
25-Jan-01,2.02
26-Jan-01,2.02
27-Jan-01,2.015
28-Jan-01,2.015
29-Jan-01,2.015
30-Jan-01,2.02
31-Jan-01,2.025
01-Feb-01,2.015
02-Feb-01,2.025
03-Feb-01,2.04
04-Feb-01,2.04
05-Feb-01,2.04
06-Feb-01,2.04
07-Feb-01,2.03
08-Feb-01,2.03
09-Feb-01,2.065
10-Feb-01,2.065
11-Feb-01,2.065
12-Feb-01,2.065
13-Feb-01,2.065
14-Feb-01,2.065
15-Feb-01,2.064
16-Feb-01,2.065
17-Feb-01,2.07
18-Feb-01,2.07
19-Feb-01,2.07
20-Feb-01,2.075
21-Feb-01,2.0825
22-Feb-01,2.165
23-Feb-01,2.14
24-Feb-01,2.08
25-Feb-01,2.08
26-Feb-01,2.08
27-Feb-01,2.055
28-Feb-01,2.0351
01-Mar-01,2.015
02-Mar-01,2.04
03-Mar-01,2.06
04-Mar-01,2.06
05-Mar-01,2.06
06-Mar-01,2.075
07-Mar-01,2.075
08-Mar-01,2.075
09-Mar-01,2.09
10-Mar-01,2.09
11-Mar-01,2.09
12-Mar-01,2.09
13-Mar-01,2.09
14-Mar-01,2.09
15-Mar-01,2.08
16-Mar-01,2.0799
17-Mar-01,2.0799
18-Mar-01,2.06
19-Mar-01,2.06
20-Mar-01,2.06
21-Mar-01,2.06
22-Mar-01,2.065
23-Mar-01,2.065
24-Mar-01,2.04
25-Mar-01,2.053
26-Mar-01,2.053
27-Mar-01,2.053
28-Mar-01,2.05
29-Mar-01,2.05
30-Mar-01,2.05
31-Mar-01,2.06
01-Apr-01,2.06
02-Apr-01,2.06
03-Apr-01,2.07
04-Apr-01,2.07
05-Apr-01,2.06
06-Apr-01,2.05
07-Apr-01,2.0501
08-Apr-01,2.0501
09-Apr-01,2.0501
10-Apr-01,2.0501
11-Apr-01,2.062
12-Apr-01,2.063
13-Apr-01,2.05
14-Apr-01,2.03
15-Apr-01,2.03
16-Apr-01,2.03
17-Apr-01,2.03
18-Apr-01,2.04
19-Apr-01,2.02
20-Apr-01,2.05
21-Apr-01,2.0501
22-Apr-01,2.0501
23-Apr-01,2.0501
24-Apr-01,2.06
