IDX,DATE,AMT,RESP,URL
3165,2017-01-08,20000000.0,"Result Of The Currency Auction
On August 1, 2017, the National Bank of Georgia purchased USD
20 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.3953.",https://www.nbg.gov.ge/index.php?m=340&newsid=3165&lng=eng
3169,2017-07-08,20000000.0,"Result Of The Currency Auction
On August 7 , 2017, the National Bank of Georgia purchased USD
20 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.3910.",https://www.nbg.gov.ge/index.php?m=340&newsid=3169&lng=eng
3322,2018-03-04,20000000.0,"Result Of The Currency Auction
On April 3, 2018, the National Bank of Georgia purchased USD
20 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.3941.",https://www.nbg.gov.ge/index.php?m=340&newsid=3322&lng=eng
3379,2018-06-22,10000000.0,"Result Of The Currency Auction
On June 22, 2018, the National Bank of Georgia purchased USD
10 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4579.",https://www.nbg.gov.ge/index.php?m=340&newsid=3379&lng=eng
3381,2018-06-25,10000000.0,"Result Of The Currency Auction
On June 25, 2018, the National Bank of Georgia purchased USD
10 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4545.",https://www.nbg.gov.ge/index.php?m=340&newsid=3381&lng=eng
3387,2018-06-28,10000000.0,"Result Of The Currency Auction
On June 28, 2018, the National Bank of Georgia purchased USD 10
000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4536.",https://www.nbg.gov.ge/index.php?m=340&newsid=3387&lng=eng
3400,2018-11-07,10000000.0,"Result Of The NBG Currency Auction
On July 11, 2018, the National Bank of Georgia purchased USD
10 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4405.",https://www.nbg.gov.ge/index.php?m=340&newsid=3400&lng=eng
3417,2018-07-27,10000000.0,"Result Of The NBG Currency Auction
On July 27, 2018, the National Bank of Georgia purchased USD
10 000 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4496.",https://www.nbg.gov.ge/index.php?m=340&newsid=3417&lng=eng
3421,2018-01-08,17500000.0,"Result Of The NBG Currency Auction
On August 1, 2018, the National Bank of Georgia purchased USD
17 500 000 on its Foreign Exchange Auction. The weighted average exchange
rate was 2.4483. ",https://www.nbg.gov.ge/index.php?m=340&newsid=3421&lng=eng
3448,2018-09-19,10000000.0,"Result Of The NBG Currency Auction
On September 19, 2018, the National Bank of Georgia purchased
USD 10 000 000 on its Foreign Exchange Auction. The weighted average
exchange rate was 2.6188. ",https://www.nbg.gov.ge/index.php?m=340&newsid=3448&lng=eng
